VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit Concept Name,Visit Concept Code,Visit OMOP ID
epf_alzhei_f,cause of death: Alzheimers and related conditions,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Alzheimer's disease,snomed:26929004,378419,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_aoraneu_f,cause of death:Aortic aneurysm ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Aortic aneurysm ,snomed:67362008,317585,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_chd_f,cause of death: All coronary heart disease,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Congenital heart disease,snomed:13213009,312723,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_cirrliv_f,cause of death: Cirrosis / alcohol liver disease,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Alcoholic cirrhosis,snomed:420054005,196463,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_comphd_f,cause of death: Ill defined descriptions and complications of heart disease,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_copd_f,cause of death: COPD and related conditions,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,COPD,loinc:LA10559-5,45877605,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_crbv_f,cause of death: All cerebrovascular diseases,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Cerebrovascular disease,snomed:62914000,381591,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_cv_f,cause of death: All cardiovascular diseases,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Disorder of cardiovascular system,snomed:49601007,134057,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_diab1_f,cause of death:Diabetes mellitus type 1,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Type 1 diabetes mellitus,snomed:46635009,201254,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_diab2_f,cause of death: Diabetes mellitus type 2,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Type 2 diabetes (T2DM),snomed:44054006,201826,,,,Observation,M0,baseline time,loinc:64103-5,40766819
