"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"BLACE","which ACE-inhibitor at baseline","INT",,"0=none | 1=Quinapril |2=Spirapril | 3=Benazapril | 4=Perindopril | 5=Fosinopril | 6=Trandolapril |7=Cilazapril | 8=Captopril | 9=Enalapril | 10=Ramipril |11=Lisinopril | 12=other",,622,0,0,12,,"loinc:LA32-8|rxnorm:35208|rxnorm:36908|rxnorm:18867|rxnorm:54552|rxnorm:50166|rxnorm:38454|rxnorm:21102|rxnorm:1998|rxnorm:3827|rxnorm:35296|rxnorm:29046|snomed:74964007","No|quinapril|Spirapril|Benazapril|Perindopril|Fosinopril|Trandolapril|Cilazapril|Captopril|Enalapril|Ramipril|Lisinopril|other","45878245|1331235|19040051|1335471|1373225|1363749|1342439|19050216|1340128|1341927|1334456|1308216|9177","atc:C09AA","""ACE inhibitors, plain""",21601784,"Type","snomed:410656007",4259643,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BLATII","Baseline which ATII-antagonist","INT",,"0=none |1=Candesartan | 2=Eprosartan | 3=Irbesartan | 4=Losartan | 5=Telmisartan| 6=Valsartan | 7=other",,622,0,0,7,,"loinc:LA32-8|rxnorm:214354|rxnorm:83515|rxnorm:83818|rxnorm:52175|rxnorm:73494|rxnorm:69749|snomed:74964007","No|candesartan|eprosartan|Irbesartan|Losartan|Telmisartan|Valsartan|other","45878245|1351557|1346686|1347384|1367500|1317640|1308842|9177","atc:C09CA","""Angiotensin II receptor blockers (ARBs), plain""",21601823,"Type","snomed:410656007",4259643,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BLBB","Baseline which Betablocker","INT",,"0=none | 1=Bisoprolol | 2=Carvedilol |3=Metoprolol | 4=Atenolol |5=Nebivolol |6=Bucindolol | 9=other",,622,0,0,9,,"loinc:LA32-8|rxnorm:19484|rxnorm:20352|rxnorm:6918|rxnorm:1202|rxnorm:31555|rxnorm:19605|snomed:74964007","No|Bisoprolol|Carvedilol|Metoprolol|Atenolol|Nebivolol|Bucindolol|other","45878245|1338005|1346823|1307046|1314002|1314577|19018640|9177","atc:C07A","BETA BLOCKING AGENTS",21601665,"Type","snomed:410656007",4259643,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BLDigoxin","Baseline Digoxin","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","RxNorm:3407","digoxin",1326303,,,,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BleedingAEs","Bleeding Aes adverse events","INT",,,,622,0,0,3,,,,,"loinc:LA7266-5 ","Adverse event ",45884383,"Bleeding","snomed:131148009",437312,,,,"Condition_occurrence","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BLFuro","Baseline Furosemide","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","RxNorm:4603","furosemide",956874,,,,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"BLNitrat","Baseline which Nitrate","INT",,"0=none | 1=Nitroglycerin | 2=IS-di-nitrate | 3=IS-mono-nitrate | 4=PE-tetra-nitrate | 5=other",,622,0,0,4,,"loinc:LA32-8|rxnorm:4917|rxnorm:6058|rxnorm:6057|rxnorm:33055|snomed:74964007","No|nitroglycerin|isosorbide dinitrate|isosorbide|pentaerythritol|other","45878245|1361711|1383925|1383815|19022446|9177","atc:C01DA","Organic nitrates",21600316,"Type","snomed:410656007",4259643,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Block","nodal block on ECG at baseline","INT",,"1= Sino-atrial block| 2= first degree AV-block| 3= second degree AV block type 1 Wenckebach| 4= second degree AV block type 2 mobitz-II| 5= third degree bloeck ( total block)|9=other ",,102,520,1,5,,,,,"snomed:233917008","Atrioventricular block",316135,"Electrocardiogram finding","Snomed:301120008",4117134,,,,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Block_12","nodal block on ECG at visit12","INT",,"1= Sino-atrial block| 2= first degree AV-block| 3= second degree AV block type 1 Wenckebach| 4= second degree AV block type 2 mobitz-II| 5= third degree bloeck ( total block)|9=other ",,92,530,1,5,,,,,"snomed:233917008","Atrioventricular block",316135,"Electrocardiogram finding","Snomed:301120008",4117134,,,,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"Block_18","nodal block on ECG at visit18","INT",,"1= Sino-atrial block| 2= first degree AV-block| 3= second degree AV block type 1 Wenckebach| 4= second degree AV block type 2 mobitz-II| 5= third degree bloeck ( total block)|9=other ",,99,523,1,4,,,,,"snomed:233917008","Atrioventricular block",316135,"Electrocardiogram finding","Snomed:301120008",4117134,,,,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
